date,tiker,close
2021-04-26,4210,92.0
2021-04-27,4210,92.2
2021-04-28,4210,89.6
2021-04-29,4210,90.4
2021-05-02,4210,92.0
2021-05-03,4210,91.0
2021-05-04,4210,89.1
2021-05-05,4210,90.0
2021-05-06,4210,90.7
2021-01-03,4220,9.1
2021-01-04,4220,9.23
2021-01-05,4220,9.14
2021-01-06,4220,9.09
2021-01-07,4220,9.12
2021-01-10,4220,9.18
2021-01-11,4220,9.19
2021-01-12,4220,9.19
2021-01-13,4220,9.1
2021-01-14,4220,9.1
2021-01-17,4220,9.06
2021-01-18,4220,9.15
2021-01-19,4220,9.11
2021-01-20,4220,9.06
2021-01-21,4220,9.06
2021-01-24,4220,9.02
2021-01-25,4220,9.06
2021-01-26,4220,9.02
2021-01-27,4220,8.98
2021-01-28,4220,9.04
2021-01-31,4220,8.92
2021-02-01,4220,8.86
2021-02-02,4220,8.73
2021-02-03,4220,8.5
2021-02-04,4220,8.4
2021-02-07,4220,8.61
2021-02-08,4220,8.86
2021-02-09,4220,8.79
2021-02-10,4220,8.71
2021-02-11,4220,8.69
2021-02-14,4220,8.76
2021-02-15,4220,8.9
2021-02-16,4220,9.42
2021-02-17,4220,9.48
2021-02-18,4220,9.27
2021-02-21,4220,9.63
2021-02-22,4220,9.55
2021-02-23,4220,9.49
2021-02-24,4220,9.25
2021-02-25,4220,9.21
2021-02-28,4220,9.1
2021-03-01,4220,9.33
2021-03-02,4220,9.82
2021-03-03,4220,9.88
2021-03-04,4220,9.86
2021-03-07,4220,10.32
2021-03-08,4220,10.18
2021-03-09,4220,10.06
2021-03-10,4220,10.32
2021-03-11,4220,10.5
2021-03-14,4220,10.82
2021-03-15,4220,11.16
2021-03-16,4220,11.92
2021-03-17,4220,11.72
2021-03-18,4220,11.58
2021-03-21,4220,11.22
2021-03-22,4220,11.26
2021-03-23,4220,11.0
2021-03-24,4220,11.0
2021-03-25,4220,10.98
2021-03-28,4220,10.82
2021-03-29,4220,10.98
2021-03-30,4220,10.86
2021-03-31,4220,10.7
2021-04-01,4220,10.84
2021-04-04,4220,10.96
2021-04-05,4220,11.08
2021-04-06,4220,11.12
2021-04-07,4220,10.98
2021-04-08,4220,10.88
2021-04-11,4220,10.48
2021-04-12,4220,10.42
2021-04-13,4220,10.12
2021-04-14,4220,10.14
2021-04-15,4220,10.32
2021-04-18,4220,10.54
2021-04-19,4220,10.36
2021-04-20,4220,10.26
2021-04-21,4220,10.2
2021-04-22,4220,10.18
2021-04-25,4220,10.0
2021-04-26,4220,10.26
2021-04-27,4220,10.56
2021-04-28,4220,10.4
2021-04-29,4220,10.72
2021-05-02,4220,10.84
2021-05-03,4220,10.94
2021-05-04,4220,10.72
2021-05-05,4220,10.52
2021-05-06,4220,10.68
2021-01-03,4230,22.12
2021-01-04,4230,22.46
2021-01-05,4230,22.6
2021-01-06,4230,22.7
2021-01-07,4230,22.52
2021-01-10,4230,22.7
2021-01-11,4230,24.96
2021-01-12,4230,24.26
2021-01-13,4230,23.9
2021-01-14,4230,23.94
2021-01-17,4230,24.92
2021-01-18,4230,24.0
2021-01-19,4230,24.2
2021-01-20,4230,23.98
2021-01-21,4230,23.86
2021-01-24,4230,23.64
